sentence,position,lemma,pos
The first point to make is that democracy is not so much a ‘thing’ as a project; not so much something that is already built as something that is always still under construction.,"(19, 23)",make_noise,V
"There are some thirty distinct types of strokes recognized in Chinese characters, some of which are compound strokes made from basic strokes.","(117, 121)",make_noise,V
"Since there is no actual component put into a via, many PCBs are manufactured with ""plugged"" vias (vias completely filled with metal) and ""tented"" vias (vias completely covered with solder mask).","(65, 77)",manufacture,V
The first electric toaster was invented in 1893 in Scotland by Alan Macmasters and manufactured by Crompton and Co. A person had to turn the bread over to toast both sides and turn the machine off by hand.,"(83, 95)",manufacture,V
Plutonium is usually manufactured artificially in special reactors designed and built especially for this task.,"(21, 33)",manufacture,V
Texas Instruments used special materials processing techniques to make very pure semiconductor material necessary for transistors and started manufacturing them by 1952.,"(142, 155)",manufacture,V
"For instance, a car manufacturing company with an e-commerce strategy allowing for online orders can have new cars built within a few days (instead of the several weeks it currently takes to build a new vehicle) based on customer’s specifications.","(20, 33)",manufacture,V
"""What course should an agricultural and manufacturing country take under such circumstances?","(40, 53)",manufacture,V
"Since the areas affected were at risk for terrorist activities in that there was an oil refinery and a tank manufacturing plant in the area, the affected librarians did not necessarily take offense to the removal of these documents given the political climate, but rather the way the information was unceremoniously taken from them.","(108, 121)",manufacture,V
Support for a similar elevated structure came from industrial and manufacturing businesses whose primary concern was the maintenance of traffic capacity.,"(66, 79)",manufacture,V
interchangeable parts Parts that are manufactured to a particular specification so that any one of a given part can be used in a machine or assembly.,"(37, 49)",manufacture,V
Primary microplastics: Plastics manufactured in the microplastic size range.,"(32, 44)",manufacture,V
"To help her mistress and obtain a dowry Valer promised her so that she can marry Anton, Lisette denigrates her before Damis, calling her silly, quarrelsome, vain, and warning that she will ruin him with extravagant parties and feasts, all which he considers trifles, rather an opportunity to write a good book about a bad wife, and willing to submit to his father.","(75, 80)",marry,V
"Their marriage revealed the fact that Wollstonecraft had never been married to Imlay, and as a result she and Godwin lost many friends.","(68, 75)",marry,V
"Their status was definitely lower than the ""omi"" clans, however, and they were forbidden from marrying into the ruling clan.","(94, 102)",marry,V
"They readily quote: “I Timothy 4:3-4 Forbidding to marry, and commanding to abstain from meats, which God has created to be received with thanksgiving of them which believe and know the truth.","(51, 56)",marry,V
"showed his eagerness to ensure that Hero is Leonarto's sole heir, which suggests that he is using Hero to gain access to riches, marrying Hero in order to inherit Leonato's properties.","(129, 137)",marry,V
"On informing his daughter what he expects of her, he emphasizes that her refusal is likely to annul her sister's marriage plans: ""No one will marry a sister of yours,"" he assures her, to her distress.","(142, 147)",marry,V
"Having travelled on a wagon with his daughter, Sue, Silas Prescott now wants to marry her off to gain more freedom for himself.","(80, 85)",marry,V
And you never wanted to get married?,"(28, 35)",marry,V
"Castillo's poem, “Saturdays”, even goes so far as to make subservience a Mexican trait in the second stanza, “'How do I look?”/'Bien,' went on ironing./That's why he married her, a Mexican/ woman, like his mother, not like/ they were in Chicago, not like/ the ones he was going out to meet.”.","(166, 173)",marry,V
"context: ~~~ side... Now, when married,it married,it was to be a life of suburban pavement and shop... children, a pram and brick built house..., cinema, and all that makes for town-life.","(31, 38)",marry,V
Two of them are so fast and easy as to truly merit the name AutoUV.,"(45, 50)",merit,V
"He is initially quite intrigued by the available supplies, but apparently these become commonplace to him, as there is only one other time it is mentioned, in Harry Potter and the Prisoner of Azkaban, where it doesn't even merit a full sentence.","(223, 228)",merit,V
"The attempted robbery not merely interrupts the amour at the critical point, but offers an effective chance for Archer to display his bravery and to merit Mrs Sullen's regard.","(149, 154)",merit,V
"The only original poem which merits our attention in the early Virginian colony was found soon after the Revolutionary War in a collection of manuscripts, known as the Burwell Papers.","(29, 35)",merit,V
"The federal Constitution avoids this error; and what merits particular notice, it provides for the last in a mode which increases the security for the first.","(53, 59)",merit,V
"These are either derived from potentially unreliable data, not interesting enough to merit using up space in the 3D view, or both.","(85, 90)",merit,V
This last item merits examination in some depth.,"(15, 21)",merit,V
"""Love for Love's success was well merited, for in it wit is married to grace of diction.","(34, 41)",merit,V
"While case study approach has a considerable influence in comparative politics and social sciences at large, case selection merits some special attention as well.","(124, 130)",merit,V
"Media literacy merits a place in teacher education because it encourages critical thinking in a media-dominated age (Schwarz, 2001).","(15, 21)",merit,V
"Whitehurst raised several concerns about William’s testimony, stating he misrepresented the truth, testified outside his area of expertise, and presented biased testimony in favor of guilt.","(73, 87)",misrepresent,V
"Perpetrators of these scams often misrepresent themselves as single individuals looking for a romantic or sexual relationship to develop an emotional bond with the victim, which can then be used to extort money or goods from the victim.","(34, 46)",misrepresent,V
"In order to make the case for Piper, I will begin by citing this alleged negative evidence and show how these writers misrepresent the facts even in these cases, that the tendentious ""black case"" is considerably lightened.","(118, 130)",misrepresent,V
"If not adequately protected, GIs may be misrepresented by dishonest commercial operators.","(40, 54)",misrepresent,V
"But ever since they have been cursed by one thing after another"" Voodoo has been widely misrepresented as a form of sorcery or witchcraft that can personally affect or inflict upon someone.","(88, 102)",misrepresent,V
"Law professor Jason Mazzone wrote, ""Damages are also not available to the site owner unless a claimant 'knowingly materially' misrepresented that the law covers the targeted site, a difficult legal test to meet.","(126, 140)",misrepresent,V
Kilgore (2001) points to the difficulties in communication that often misrepresent a message.,"(70, 82)",misrepresent,V
Although it is crucial to note that minorities are misrepresented that Disney’s vision remains mainly Western-centered.,"(51, 65)",misrepresent,V
"Although Merck was intentionally misrepresenting data, the FDA had multiple opportunities to recall Vioxx.","(33, 48)",misrepresent,V
Any copyright holder who knowingly misrepresents that a website is dedicated to infringement would be liable for damages.,"(35, 48)",misrepresent,V
"Right now, the applicaton is primarily being developed to monitor carbon monoxyde as well as chlorine, ammonia and methane in homes.","(58, 65)",monitor,V
"They will help you to make better decisions concerning the set-up of your business, to defend your sales prices when negotiating with buyers, to apply for investment and trade finance, to monitor the performance of your business and to adjust it to a changing market demand.","(188, 195)",monitor,V
"Assess the impact of your work by monitoring changes of economic, social and environmental indicators over time, and by comparing ""your"" farmers with similar conventional ones.","(34, 44)",monitor,V
Patients were randomly assigned to one or more controlled trials where the intervention of either a resistance or aerobic training program was monitored and evaluated throughout.,"(143, 152)",monitor,V
Configuration is done either through a single file /etc/xinetd.conf and / or by individual files in /etc/xinetd.d/ named after the services being monitored by xinetd.,"(146, 155)",monitor,V
rohitab.com API Monitor API Monitor is a free software that lets you monitor and control API calls made by applications and services.,"(69, 76)",monitor,V
WEB spoofing is when hackers can make an exact copy of the whole World Wide Web (Web page)with the objective to acquire and monitor information (e.g.,"(124, 131)",monitor,V
acpi is the interface to monitor events and states.,"(25, 32)",monitor,V
Smart city technology allows city officials to interact directly with both community and city infrastructure and to monitor what is happening in the city and how the city is evolving.,"(116, 123)",monitor,V
"This objective includes monitoring the servers load and performance, restricting client user access, configuring support for scripting languages as modules and setting up client user authentication.","(24, 34)",monitor,V
"Calley's trial began on November 17, 1970 in which the military prosecution contented that Calley ordered his men to murder unarmed civilians, despite the fact that his men were not under enemy fire.","(117, 123)",murder,V
"It should also be noted that if Draco had killed Dumbledore as he had been ordered to do (in Harry Potter and the Half-Blood Prince), then Voldemort would likely have murdered Draco in an attempt to win the wand, though, unknown to anyone, Draco had since lost its allegiance to Harry when Harry disarmed him at Malfoy Manor.","(167, 175)",murder,V
"It is interesting to note Snape's enraged reaction when Harry calls him a coward, even though murdering the unarmed Dumbledore is an extremely cowardly act, as was his subsequent running away.","(94, 103)",murder,V
What happened: Pearl wonders if the Nickel Samurai was murdered.,"(55, 63)",murder,V
"Chained and manacled, Edmund was murdered in a ferocious and barbarous fashion, believed to have been sacrificed to the Viking god, Odin.","(33, 41)",murder,V
"With it, Sirius Black, who escaped Azkaban prison, could enter the castle and locate Harry, who Black apparently intends to murder.","(124, 130)",murder,V
"Apparently, the evil wizard who murdered Harry's parents, Lord Voldemort, was killed when he attempted to murder Harry.","(106, 112)",murder,V
"Journalist, family murdered; hand of mining mafia suspected.","(19, 27)",murder,V
"The lovebirds eventually became involved in a case, in which Terry Fawles was charged with escaping police custody and murdering the woman who had convicted him in the kidnapping case 5 years earlier: Valerie Hawthorne.","(119, 128)",murder,V
"At the Leaving Feast, Dumbledore gives a tribute to Cedric Diggory, explaining that Lord Voldemort murdered him.","(99, 107)",murder,V
"chmod 755 xymon ln -s /etc/init.d/xymon /etc/rc3.d/S70xymon YOU ABSOLUTELY MUST MODIFY /etc/init.d/xymon and will probably only need to change STARTBIN, STARTDIR and USERNAME as this example shows: STARTBIN=Xymon.sh STARTDIR=/home/xymon USERNAME=xymon Now you want to open the firewall to allow this viewer to see Xymon's web page outputs.","(75, 79)",must,V
"Columns may be stacked rather than cascaded, thus obscuring not-yet-active cards.","(50, 59)",obscure,V
"This does not mean, however, that the texts themselves are unimportant, for “the predominance of oral performance...must not obscure the fact that these performances were of and about written texts” (1136).","(125, 132)",obscure,V
"There is no finer example in all dramatic art of a comedy founded upon an important theme, and containing, at the same time, a complicated plot which does not obscure the basic idea"" (Stuart, 1960 p 450).","(159, 166)",obscure,V
"But the result would be inferior to a wholly a priori system, and yet the foundation would be so obscured that the language would not be easily accessible to Europeans; it would not be learnt in a few minutes, like Idiom Neutral.","(97, 105)",obscure,V
"Seram Island itself sits within a complex region of crustal plate interactions; the Australian, Eurasian and Pacific-Philippine Plates have all had a major effect on the development of the Miocene to Recent sedimentation (Seram Series) and have overprinted and obscured stratigraphic relationships within the pre-Late Miocene section (Australian Series).","(261, 269)",obscure,V
"The human mind is an amazing thing, if consideration is given to capture its imagination, a good and detailed environment will often obscure some minor errors in the implementation.","(133, 140)",obscure,V
"[v] Second, Crew's results showed large and apparently random fluctuations from generation to generation, far larger than the fluctuations in McDougall's results, which could well have obscured any tendency to improve in the scores of later generations.","(185, 193)",obscure,V
Collaborative publications do not need to obscure the work of individuals.,"(42, 49)",obscure,V
"Folding factors also prefer to act in concert during the maturation process, which further obscures the individual roles of each factor.","(91, 99)",obscure,V
Obscured by centuries of overgrowth and dim sunlight is a ruined temple of some sort.,"(0, 8)",obscure,V
"However the question is: Are the new state-of-the-art classrooms really beneficial for teachers and students, or are they obstructing lessons?","(122, 133)",obstruct,V
"Article 24 The Substitute Service can be enforced when the National Defense Military is not Obstructed, and under the conditions when the replacement of soldiers is not affected、the quality of the soldiers is not deteriorated,and does not against the fairness of military service.","(92, 102)",obstruct,V
"Persons who obstructed the recording through fraud or intimidation Persons who have a duty to apply for the recording on another's behalf Persons acting in breach of trust (背信的悪意者 haishinteki akuisha) Parties acting simply in bad faith (悪意者 akuisha) are considered to have third-party protection under Article 177 (Supreme Court, Oct 29 1998).","(12, 22)",obstruct,V
"The plane has appeared, but is obstructed by our cube object, so press ""S"" to scale the plane to 5.0000.","(31, 41)",obstruct,V
Never give an unconscious victim something to drink as it may obstruct the airway or cause vomiting.,"(62, 70)",obstruct,V
This makes the artery become stiff and obstructs the blood flow.,"(39, 48)",obstruct,V
Article 13 Any person who tried to obstruct a Military Service and has one of the following behaviors will be sentenced to less than 5 years of imprisonment: Subparagraph 1.,"(35, 43)",obstruct,V
"You may also check the victim's mouth for visible, removable obstructions in the mouth which can obstruct airflow.","(97, 105)",obstruct,V
"This creates puddles on the roadsides, which can lead to hydroplaning and spray that obstructs a driver's view.","(85, 94)",obstruct,V
"in order to expose crime, the actual intrusion and exposure might actually interfere with genuine police investigations and obstruct the advancement of such.","(124, 132)",obstruct,V
"◻ {\displaystyle \square } The proof is quite technical, but straightforward, and so is omitted.","(88, 95)",omit,V
"Some variants also omit the Sevens and Eights, resulting in a deck of 24 cards.","(19, 23)",omit,V
"John does omit this section, seemingly because it emphasizes that Jesus was not powerful enough to heal the man the first time (even with his mud).","(10, 14)",omit,V
"If you don't need anything more than a choice between Windows-95/98 and MS-DOS 7, then all the lines related to QNX and Linux may be omitted, and the filesystem on the bootable disk may be FAT-32 as well.","(133, 140)",omit,V
"(omit) context: ~~~ ion of all mass specrometric specrometric techniques and applies in non-linear, non-homogeneous cases too and is an important equation in the field of [[electrodynamics]] generally.","(1, 5)",omit,V
"The code will still work, but it's better practice to omit the parentheses around single parameters.","(54, 58)",omit,V
It may be translated by an expletive or omitted entirely.,"(40, 47)",omit,V
"Further, many feasible options may be clearly sub-optimal, so for simplicity’s sake you might omit them from consideration.","(94, 98)",omit,V
"However, we want to save more ink as well, and we could possibly do that by omitting some parts of the glyphs, for example, we could omit the upper straight part of the letter P, making the glyph something like a hook.","(76, 84)",omit,V
"As a result, pronouns are usually omitted because they can be inferred from the conjugation.","(34, 41)",omit,V
"Thus, participants in the Holocaust may have privately felt horror or disgust at what they were ordered to do but stayed in line with the group.","(96, 103)",order,V
"List, tuples and strings are all python sequence types they are ordered they are accessed by their index [0,..,n], unlike dictionaries, which are accessed by key some are mutable (meaning the elements can change) strings have additional methods like upper,lower, split etc.","(64, 71)",order,V
"For example, Proteoglycan-linking glycoproteins can cross link other proteoglycan molecules and create a formation of a ordered structure within the cartilage tissue.","(120, 127)",order,V
"The Refugee Appeal Division held that it was wrong to have allowed the questioning to proceed in such circumstances, this rendered the proceeding unfair, and a new hearing was consequently ordered by the RAD.","(189, 196)",order,V
The sheikh ordered the Sufi to his palace.,"(11, 18)",order,V
"There are many local craft stores to find the resources, such as Michaels, but two websites where you could order them have been listed in the References section below.","(108, 113)",order,V
"According to some sources, he ordered the burning of most of the extant Aztec books claiming that they contained lies.","(30, 37)",order,V
"In 2002, Ocarina of Time was re-released as a bonus disc on the Nintendo GameCube for those who pre-ordered The Legend of Zelda: The Wind Waker.","(100, 107)",order,V
Its rows are ordered according to the WINDOW ORDER clause.,"(13, 20)",order,V
"In fact, the graph shows the lines intersecting at (1,-2), which is the ordered pair solution to this system of independent simultaneous equations.","(72, 79)",order,V
This originated out of the default of the nation to be faithful to their covenant with YHWH at Sinai.,"(5, 15)",originate,V
"Though most of the 17th and 18th century pedagogies originate in Europe, these ideas made a great impact on influential Americans such as Benjamin Franklin and Thomas Jefferson, who both saw the importance of scientific, critical, and exploratory thought, as well as ""a civic education"" (Gutek).","(52, 61)",originate,V
"First I'll tell you the answer, and then I'll show you where it originates.","(64, 74)",originate,V
"The continental basement of Bacan must have originated in the Australian continental margin exposed in New Guinea (Hamilton, 1979).","(44, 54)",originate,V
Advanced Package Tool (APT) A package management system that originated in Debian (and was also used by Ubuntu since its early days).,"(61, 71)",originate,V
Scientists found this virus had originated in pigs as a recombinant form of flu strains from birds and humans.,"(32, 42)",originate,V
To become one with Him we will need to be yoked together with Him in a relationship that originates out of a coupling together with Him.,"(89, 99)",originate,V
The ROE originated during the Cold War when nuclear warfare was feared as possible retaliation for any military wrongdoings.,"(8, 18)",originate,V
"Some of the most notable examples in the UK originated from the Scottish Independence Referendum of 2014, with a wave of alternative online media emerging to dominate Scotland's online media landscape due to a perceived lack of balance in the mainstream media.","(44, 54)",originate,V
"In trying to break down the debate about teaching as a profession, we must first look at the concept of âprofession.â Originating from the Latin, professio, profession originally meant ""the declaration of belief in or acceptance of religion or a faith"" usually related to religious beliefs (Dictionary.com).","(122, 133)",originate,V
"When we count the number of reads overlapping a gene (or other feature), only those reads that map to the strand the gene is on will count and roughly half our reads will be lost.","(34, 45)",overlap,V
The existing information system: as it often happens the actual IT was the result of many years overlapping without the possibility of a real radical rethinking.,"(96, 107)",overlap,V
"If the C-R bond is in axial position, the antibonding δ* overlaps with one of the orbital of the oxygen, which stabilize the molecule.","(57, 65)",overlap,V
"We will define all our identifiers in a header file to be numerical values in an arbitrary range that does not overlap with the command identifiers of our other input sources (accelerator tables, push-buttons, etc): //resource.h #define IDC_FILE_OPEN 200 #define IDC_FILE_SAVE 201 #define IDC_FILE_CLOSE 202 #define IDC_EDIT_COPY 203 #define IDC_EDIT_CUT 204 #define IDC_EDIT_PASTE 205 #define IDC_VIEW_STANDARD 206 #define IDC_VIEW_CUSTOM 207 #define IDC_HELP 208 And we will then include this resource header both into our main program code file, and our resource script.","(111, 118)",overlap,V
Each board will overlap at most two opposite corners.,"(16, 23)",overlap,V
"The longitudinal edges of the sheath may overlap, completely surrounding the culm, or the sheath may be tubular (the margins connate).","(41, 48)",overlap,V
Ventral side of wings See dedicated page: Identification The monarch is closely related to several similar-looking butterfly species whose ranges abut or overlap with its own.,"(154, 161)",overlap,V
"When two atomic orbitals overlap, they can form new orbitals in two ways: one is the bonding orbital and another one is the anti-bonding orbital.","(25, 32)",overlap,V
"Different though partially overlapping views have been presented on Lafcadio’s motive for murder, a seemingly gratuitous act.","(27, 38)",overlap,V
"The state's workforce and employment department would then overlap all of these, tracking job growth and ensuring Federal funds may be available for job programs and assistance.","(59, 66)",overlap,V
"This is, in fact, even worse than allowing (for the constant case) the former exception, the more so given the support of function overloading in the language.","(131, 142)",overload,V
"The injection system, in the capillary gas chromatograph, should fulfil the following two requirements: The amount injected should not overload the column.","(135, 143)",overload,V
"Complex(const Complex&); In addition to function name overloading, C++ provides the programmer with an operator overloading facility.","(112, 123)",overload,V
"In addition, we've already talked about ""strong"" and ""weak"" verbs, which is an unrelated classification, and overloading these words with another set of meanings seems confusing.","(109, 120)",overload,V
"Standard technique is to put the microphone directly in front of the vocalist's mouth, although placing slightly off-center can alleviate harsh consonant sounds (such as ""p"") and prevent overloading due to excessive dynamic range.","(187, 198)",overload,V
Constructors can also be overloaded.,"(25, 35)",overload,V
overloading Having more than one method with the same name but different parameters.,"(0, 11)",overload,V
"Since we don’t have operator overloading in C, we have to come up with a function name and use this name to perform assignment.","(29, 40)",overload,V
This is often used in combination with inheritance where multiple different child classes can be accessed as a parent class type and providing access to all features from the parent class or features that have been overloaded by the child class.,"(215, 225)",overload,V
The more the player likes your character the more he will enjoy the game.It is pretty easy to overload a character with all features fitting a single alignment.,"(94, 102)",overload,V
"In 1495, the kingdom of Naples had been overrun by France with 40 light, mobile cannon.","(40, 47)",overrun,V
"Due to this, even if the Maginot Line was used to its fullest extent in the hypothetical situation, the French forces would still more than likely be completely overrun in a matter of weeks, the only difference being a higher German and French casualty count.","(161, 168)",overrun,V
His enemies had taken advantage of his departure to overrun his properties and attack his allies.,"(52, 59)",overrun,V
"As the Allied armies rolled forward they overran the launch sites for the V-1 and V-2 rockets, which was a great relief to people in England as no more rockets were fired at them.","(41, 48)",overrun,V
"In the meantime, Asia Minor was overrun by the Turks.","(32, 39)",overrun,V
"The Qin invaded at that point, with full force, and overran the remaining Chu forces.","(52, 59)",overrun,V
"The Dark World equivalent of Kakariko Village is the Village of Outcasts, overrun with thieves, gambling establishments, and Moblins.","(74, 81)",overrun,V
"Early in the game, a Korok also mentions that his race had lived there in the past, until it became overrun by monsters, and they were forced to leave.","(100, 107)",overrun,V
"The foreshore can be divided into the swash zone and surf zone, with the portion of the beach overrun by water called the swash zone, while the surf zone is where waves crash further out from the shore.","(94, 101)",overrun,V
Kyoto was from the 830's at least overrun with professional criminals and the Kebiishi were only moderately successful in suppressing them.,"(34, 41)",overrun,V
"He says nothing about the Grim, however, to Hermione, who would scoff, or Ron, who would panic.","(89, 94)",panic,V
"Do not panic, do not just flinch backwards and cover.","(7, 12)",panic,V
"Expect to see ""critical errors"" during flashing, but don't panic; proceed to the next step to check if the flash ran correctly.","(59, 64)",panic,V
- She panicked.,"(6, 14)",panic,V
Don't panic for now.,"(6, 11)",panic,V
Don't panic if you can't.,"(6, 11)",panic,V
People panicked and traded paper money for gold.,"(7, 15)",panic,V
"Fearing that he would be charged with murder, Walter panicked, leapt onto his horse, and fled, ending up in France.","(53, 61)",panic,V
"Dahlia, after witnessing the two men's conversation, panicked and decided to silence Doug.","(53, 61)",panic,V
Conscious victims may panic and thus hinder rescue efforts.,"(22, 27)",panic,V
"Select the parsed XML output, copy, and paste into a new file in your text editor.","(40, 45)",paste,V
LCTRL + A: Select entire current track LCTRL + LSHIFT + A: Select entire current pattern LALT + A: Select entire column note in a track LALT + LSHIFT + A: Select all notes of a track LCTRL + X: Cut the selected block and copy it into the block-buffer LCTRL + C: Copy the selected block into the block-buffer LCTRL + V: Paste the data from the block buffer into the pattern LCTRL + I: Interpolate selected data from the first to the last row of a selection LSHIFT + ARROWS PREV.,"(319, 324)",paste,V
A highlighted control can also be copy and pasted to reproduce additional identical controls on the form.,"(43, 49)",paste,V
"He was the first to create origami as sculptural art, and introduced a number of major technical innovations: backcoating, where two sheets are pasted together to combine the properties of both; wetfolding, where a sheet of thick paper is dampened before folding to loosen the fibers, allowing for better manipulation of the paper; a method of diagramming, which was expanded upon by Samuel Randlett, and now referred to as the Yoshizawa-Randlett diagramming system; partial folds and creases, used for sculptural effect; and in general a greater level of complexity and liveliness.","(144, 150)",paste,V
"no line numbers, but can be copy and pasted ## anything from '#' is a comment, and gets ignored.","(37, 43)",paste,V
Information: This is most commonly used on TextAreas to paste text into the gadget from the clipboard.,"(56, 61)",paste,V
"The normal Windows cut buffer will also receive an image which can be pasted into Microsoft Paint.exe and used to create a .bmp, .jpg, or .png as desired.","(70, 76)",paste,V
"The easiest way to use the interpreter is to paste the code into a new ""playground.""","(45, 50)",paste,V
Paste these in the plugins -> win32/x64 -> imageformats located in the new Qt directory.,"(0, 5)",paste,V
Use the selection tool to select the area that is wanted (see Fig.1) then copy and paste as a new image.,"(83, 88)",paste,V
"You too will garner satisfaction from stroking his head as he feeds, washing him in his bath, patting him dry and cuddling him with a warm towel.","(94, 101)",pat,V
Knead dough slightly and pat or roll to a 1⁄4 to 1⁄2 inch (.5 to 1cm) thickness.,"(25, 28)",pat,V
"The desired lump, cut off, salted, blended with a wooden cutter, and patted into shape with butter pats leaving a fancy set of marks, before placed into a greaseproof wrap.","(69, 75)",pat,V
Rinse the duck and pat it dry both inside and out with paper towels.,"(19, 22)",pat,V
"Once the paper is down, pat the sections together so they’ll start to form a continuous layer.","(24, 27)",pat,V
"Yaxley seems to be friends with Dolohov, as the latter is seen patting his back in a congratulatory way after he reports that he put Thicknesse under the Imperius Curse.","(63, 70)",pat,V
It has been defined as someone patting your shoulder from behind when you are absorbed surfing the net.,"(31, 38)",pat,V
"Then pat dry with a paper towel or kitchen towel, which is important because otherwise the remaining water will mix with the cream, causing curdling problems.","(5, 8)",pat,V
"After rewarming has been completed, pat the area dry with a soft towel.","(36, 39)",pat,V
"Alternatively, pat it into a wooden mould and flatten the exposed bottom surface, then bang the mould face down on the work surface to extract the moulded pastry.","(15, 18)",pat,V
"Wash the lemons well and peel the zest, being careful not to include the bitter white pith.","(25, 29)",peel_off,V
"Hard boil the eggs, refresh and set aside to cool Wash, peel and thickly slice the ginger, bruise with the flat of a knife.","(56, 60)",peel_off,V
"You may wish to oil your hands or wear gloves before peeling the dalo, as it may irritate your skin otherwise.","(53, 60)",peel_off,V
The enlarged roots can be peeled and eaten raw or stir-fried.,"(26, 32)",peel_off,V
Assignment in these languages is analogous to peeling a label off one object and putting it on another.,"(46, 53)",peel_off,V
"Peel the peaches, apples, and pears, and chop them up in very tiny pieces.","(0, 4)",peel_off,V
You can peel off as many copies as you want.,"(8, 12)",peel_off,V
Sweet potatoes may be peeled before or after cooking in a lovo.,"(22, 28)",peel_off,V
"The traditional method of preparing potato juice is to cut a medium-sized potato into thin slices, without peeling the skin, and place the slices overnight in a large glass filled with cold water.","(107, 114)",peel_off,V
"At this stage, if you want, add the grated cheese over the potato, and if you are feeling artistic, decorate the top of the pie with some large peeled prawns around the edge of the fish, and maybe a decoration in the middle.","(144, 150)",peel_off,V
They also penetrated in to the other side of the Galilee and took most of the tribe of Naphtali and Issachar.,"(10, 20)",penetrate,V
"In song, where melody and words are joined together, the intellect and the emotions are united into a powerful force which penetrates into the depths of a person's inner being.","(123, 133)",penetrate,V
"Disease: Cutaneous myiasis of the Screw-worm type causes much pain, distress, loss of production, and can be fatal if the infestation starts at a wound on the ear or navel and then penetrates deeply.","(181, 191)",penetrate,V
"The person's own will is in control, preventing the Word from penetrating and generating faith in the heart to motivate action.","(62, 73)",penetrate,V
"In this case, rem = rad, since workers in this situation will be wearing PPE, so gamma is only radiation that will penetrate.","(115, 124)",penetrate,V
"Normal telescopes cannot penetrate the very thick atmosphere, but radar can be used to map out the topography of the land.","(25, 34)",penetrate,V
"When ground seismic waves reach up and start to penetrate a base of a building, their energy flow density, due to reflections, reduces dramatically: usually, up to 90%.","(48, 57)",penetrate,V
Tools for cyclists who are prepared to fix anything that may go wrong on a bicycle: Bottom bracket tapping and facing tool Bottom bracket tool Crown race setting tool Headset cup remover Headset press Starnut driver Head tube facer/reamer Degreaser Grease Oil Penetrating oil Thread locking compound Tire patch compound Tire patches Ti Prep Cable ends to prevent cables from fraying.,"(260, 271)",penetrate,V
"For example, an intruder who has penetrated a host connected to a major network can start a program that listens to all data flowing in the network, and whenever it encounters a 16-digit string, it checks if it is a valid credit card number (using the check digit), and saves the number plus any surrounding text (to catch expiration date and holder) in a file.","(33, 43)",penetrate,V
The firewall acts as a security barrier between the Local Area Network (LAN) and Wide Area Network (WAN) in order to prevent potentially harmful content penetrating the “wall” and reaching the LAN.,"(153, 164)",penetrate,V
If comment changes are permitted: Rem comment style is optionally replaced with the apostrophe style.,"(23, 32)",permit,V
"This permits us to say the following: Total relativistic energy = rest-mass energy + relativistic kinetic energy or in symbols: It was a stroke of genius on Einstein's part to see that the two terms E = Mc2 and E0 = M0c2 were not just mathematical junk, they actually had physical meaning.","(5, 12)",permit,V
"They are used to grant exclusivity rights over the IP to its creator (or owner) as to permit the work to generate profits, enough of a profit to potentially entice, allow, and foster the production of intellectual property.","(86, 92)",permit,V
"The back path is drawn from the lowest metric in the last column along permitted branches, the survivor paths, to the zero point in the trellis.","(71, 80)",permit,V
"These conditions, which vary daily, are, for all practical purposes, beyond the engineer, with the result that he is permitted to work on a margin of five degrees each side of his allotted wavelength to rectify any possible errors.","(117, 126)",permit,V
"which permits me to deal with programming, bug fixes and further enhancements to eac3to.","(6, 13)",permit,V
Project expenditures to date: •Design-Build Contract expenditures through March 2014 totaled $239 million –Expenditures from bond proceeds to date ~ $108 million –Expenditures from Commonwealth funds to date ~ $131 million –$81 million less than maximum permitted by payout curve •Expenditures relate to the following activities: –Pre-execution work $25 million –Engineering/permitting/etc.,"(254, 263)",permit,V
The law permitting private ownership of konden was issued by his ministry 20 days later.,"(8, 18)",permit,V
Notice that the alpha patterns here make ' use of long format notation where every character permitted has been included. ',"(93, 102)",permit,V
"Manipulation of the regulatory framework allows leaders to either tolerate or rein in influential news outlets depending on the political situation, and permits even democratically elected governments to fortify themselves against future electoral competition.","(153, 160)",permit,V
"Focusing on the page that deals with glucagon, this article lists many new definitions that pertain to biochemistry and enhance the reading.","(92, 99)",pertain,V
"The reputation of the firm's personnel is so long and firmly established among music lovers in the State that the names of Messrs. Musgrove, Gray, Kingston, and Scott have only to be mentioned to guarantee that the claim of Musgrove's Ltd. that theirs is and will continue to be the House of Quality in all that pertains to music in the musical world of the State will be fulfilled in every respect.","(312, 320)",pertain,V
Here you can set up many of the basic values pertaining to your website and your business.,"(45, 55)",pertain,V
"She also says mystery is not confined by sex to women but instead by situation, and that it pertains to any slave.","(92, 100)",pertain,V
"It also focuses on arguments involving consent as they pertain to indigenous peoples, specifically in the context of settler colonies.","(55, 62)",pertain,V
"These symbols can best be understood or interpreted through the eyes of the culture that they pertain to, otherwise they may lose their unique significance.","(94, 101)",pertain,V
"What follows is Wikibooks interpretation of CC-BY-SA and GFDL, as it pertains to the rights and obligations of users and contributors.","(69, 77)",pertain,V
"Must have well-researched and accurate information pertaining to the implementation of the proposal Assignment #6, The Annotated Bibliography The Annotated Bibliography is a list of sources in MLA format.","(51, 61)",pertain,V
The Lost Worlds subgenre of science fiction are those works that pertain to the discovery of lost civilizations or lost worlds.,"(65, 72)",pertain,V
"The NIH requested and received massive public comment pertaining to its own openness to its generally sophisticated public, and they did a thorough job of analyzing the voluminous submissions which is posted on their website.","(54, 64)",pertain,V
